platform_seq,platform_name,song_type_txt,album_cd,album_name_kor,album_name_eng,song_cd,song_name_kor,song_name_eng,song_release_date,artist_cd,artist_name_kor,artist_name_eng,mem_cd,mem_name,track_cd,isrc_cd,interest_yn,platform_artist_ids,platform_song_ids
80,지니뮤직,어린이,A1016552,"창의력 발달 어린이 인기 동요 베스트 180 (유치원, 키즈카페, 어린이집, 유아, 초등학교, 신나는 율동, 교과서, 창작, 필수, 누리과정, TV만화 주제곡)",Creativity Development Best Children's Song 180,A1016552T005,작은 동물원 (삐약삐약 병아리),Small Zoo (PPIYAK PPIYAK Chick),43634,S107216,동요,동요,L20220666,플라이트래빗,A1016552T005,QZEKE1865398,Y,{},"{""GENIE"": ""89089027""}"
80,지니뮤직,어린이,A1016552,"창의력 발달 어린이 인기 동요 베스트 180 (유치원, 키즈카페, 어린이집, 유아, 초등학교, 신나는 율동, 교과서, 창작, 필수, 누리과정, TV만화 주제곡)",Creativity Development Best Children's Song 180,A1016552T007,비행기,Airplane,43634,S107216,동요,동요,L20220666,플라이트래빗,A1016552T007,QZEKE1865400,Y,{},"{""GENIE"": ""89089029""}"
80,지니뮤직,어린이,A1016552,"창의력 발달 어린이 인기 동요 베스트 180 (유치원, 키즈카페, 어린이집, 유아, 초등학교, 신나는 율동, 교과서, 창작, 필수, 누리과정, TV만화 주제곡)",Creativity Development Best Children's Song 180,A1016552T008,멋쟁이 토마토 (인기 율동동요),Dandy Tomato,43634,S107216,동요,동요,L20220666,플라이트래빗,A1016552T008,QZEKE1865401,Y,{},"{""GENIE"": ""89089030""}"
80,지니뮤직,어린이,A1016552,"창의력 발달 어린이 인기 동요 베스트 180 (유치원, 키즈카페, 어린이집, 유아, 초등학교, 신나는 율동, 교과서, 창작, 필수, 누리과정, TV만화 주제곡)",Creativity Development Best Children's Song 180,A1016552T009,곰세마리 (인기 율동동요),Three Bears,43634,S107216,동요,동요,L20220666,플라이트래빗,A1016552T009,QZEKE1865402,Y,{},"{""GENIE"": ""89089031""}"
80,지니뮤직,어린이,A1016552,"창의력 발달 어린이 인기 동요 베스트 180 (유치원, 키즈카페, 어린이집, 유아, 초등학교, 신나는 율동, 교과서, 창작, 필수, 누리과정, TV만화 주제곡)",Creativity Development Best Children's Song 180,A1016552T013,산토끼,Hare,43634,S107216,동요,동요,L20220666,플라이트래빗,A1016552T013,QZEKE1865406,Y,{},"{""GENIE"": ""89089035""}"
80,지니뮤직,어린이,A1016552,"창의력 발달 어린이 인기 동요 베스트 180 (유치원, 키즈카페, 어린이집, 유아, 초등학교, 신나는 율동, 교과서, 창작, 필수, 누리과정, TV만화 주제곡)",Creativity Development Best Children's Song 180,A1016552T014,머리 어깨 무릎 발 (인기 율동동요),"Head, Shoulder, Knee, Foot (Popular Rhythm Children`s Song)",43634,S107216,동요,동요,L20220666,플라이트래빗,A1016552T014,QZEKE1865407,Y,{},"{""GENIE"": ""89089036""}"
80,지니뮤직,어린이,A1016552,"창의력 발달 어린이 인기 동요 베스트 180 (유치원, 키즈카페, 어린이집, 유아, 초등학교, 신나는 율동, 교과서, 창작, 필수, 누리과정, TV만화 주제곡)",Creativity Development Best Children's Song 180,A1016552T015,그대로 멈춰라 (놀이동요),Just Stop It (Play Children`s Song),43634,S107216,동요,동요,L20220666,플라이트래빗,A1016552T015,QZEKE1865408,Y,{},"{""GENIE"": ""89089037""}"
80,지니뮤직,어린이,A1016552,"창의력 발달 어린이 인기 동요 베스트 180 (유치원, 키즈카페, 어린이집, 유아, 초등학교, 신나는 율동, 교과서, 창작, 필수, 누리과정, TV만화 주제곡)",Creativity Development Best Children's Song 180,A1016552T016,거미가 줄을 타고 올라갑니다 (거미),Itchy Bitchy Spider (Spider),43634,S107216,동요,동요,L20220666,플라이트래빗,A1016552T016,QZEKE1865409,Y,{},"{""GENIE"": ""89089038""}"
80,지니뮤직,어린이,A1016552,"창의력 발달 어린이 인기 동요 베스트 180 (유치원, 키즈카페, 어린이집, 유아, 초등학교, 신나는 율동, 교과서, 창작, 필수, 누리과정, TV만화 주제곡)",Creativity Development Best Children's Song 180,A1016552T025,동물농장 (닭장 속에는 암탉이),Animal Farm ( A hen is in a henhouse),43634,S107216,동요,동요,L20220666,플라이트래빗,A1016552T025,QZEKE1865418,Y,{},"{""GENIE"": ""89089047""}"
80,지니뮤직,어린이,A1016552,"창의력 발달 어린이 인기 동요 베스트 180 (유치원, 키즈카페, 어린이집, 유아, 초등학교, 신나는 율동, 교과서, 창작, 필수, 누리과정, TV만화 주제곡)",Creativity Development Best Children's Song 180,A1016552T118,섬집아기 (자장가 동요),A Cottage On An Isle (Lullaby children`s Song),43634,S107216,동요,동요,L20220666,플라이트래빗,A1016552T118,QZEKE1877160,Y,{},"{""GENIE"": ""89088988""}"
80,지니뮤직,OST,A1016825,프로듀사 OST,프로듀사 OST,A1016825T001,사랑의 시작은 고백에서부터,사랑의 시작은 고백에서부터,43678,S123109,김범수,Kim Bumsoo,L20221060,주식회사 로이,A1016825T001,QZEKE1878644,Y,{},"{""GENIE"": ""84113474""}"
80,지니뮤직,대중음악,A1017045,Chuu,,A1017045T001,Heart Attack (츄),,43709,S135056,츄 (이달의 소녀),Chuu,L20221456,주식회사 엠티엠홀딩스,A1017045T001,QZEKE1914225,Y,{},"{""GENIE"": ""87639240""}"
80,지니뮤직,대중음악,A1017048,beauty&thebeat,beauty&thebeat,A1017048T002,love4eva (feat. Grimes),love4eva (feat. Grimes),43709,S119474,이달의 소녀 yyxy,이달의 소녀 yyxy,L20221436,주식회사 디스튜디오,A1017048T002,QZEKE1914232,Y,{},"{""GENIE"": ""88007138""}"
80,지니뮤직,대중음악,A1017049,[+ +],[+ +],A1017049T002,HI High,HI High,43709,S119140,이달의 소녀,LOOΠΔ,L20221436,주식회사 디스튜디오,A1017049T002,QZEKE1914237,Y,{},"{""GENIE"": ""88182848""}"
80,지니뮤직,대중음악,A1017050,Max & Match,Max & Match,A1017050T004,Girl Front,Girl Front,43709,S119473,이달의 소녀 오드아이써클,LOOΠΔ / ODD EYE CIRCLE,L20221436,주식회사 디스튜디오,A1017050T004,QZEKE1914217,Y,{},"{""GENIE"": ""87514794""}"
80,지니뮤직,대중음악,A1017381,un2verse,un2verse,A1017381T001,Gucci,Gucci,43770,S105918,제시,Jessi,L20220744,케미컬레코즈,A1017381T001,QZEKE1914752,Y,{},"{""GENIE"": ""87291052""}"
80,지니뮤직,OST,A1017389,딴따라OST Part.5,,A1017389T001,사진찍어 보내줘,,43770,S110002,개코,개코,L20220744,케미컬레코즈,A1017389T001,KRA381600909,Y,{},"{""GENIE"": ""86234563""}"
80,지니뮤직,대중음악,A1017861,혜성,,A1017861T001,혜성,,43862,S135590,윤하 (Younha/ユンナ),윤하 (Younha/ユンナ),L20220744,케미컬레코즈,A1017861T001,KRB471600101,Y,{},"{""GENIE"": ""53421747""}"
80,지니뮤직,대중음악,A1018214,사랑하기 전에는,before you love,A1018214T001,사랑하기 전에는,before you love,43913,S114745,유해준,Yoo Hae Joon,L20220673,청엔터테인먼트,A1018214T001,QZEKE1932613,Y,{},"{""GENIE"": ""90010148""}"
80,지니뮤직,대중음악,A1018680,CODE#01 나쁜여자,,A1018680T002,나쁜여자,,44044,S110352,레이디스 코드 (LADIES` CODE),레이디스 코드 (LADIES` CODE),L20221456,주식회사 엠티엠홀딩스,A1018680T002,KRA491300139,Y,{},"{""GENIE"": ""81819969""}"
80,지니뮤직,대중음악,A1018681,CODE#02 PRETTY PRETTY,,A1018681T002,예뻐 예뻐,,44044,S110352,레이디스 코드 (LADIES` CODE),레이디스 코드 (LADIES` CODE),L20221456,주식회사 엠티엠홀딩스,A1018681T002,KRA491301046,Y,{},"{""GENIE"": ""82033962""}"
80,지니뮤직,대중음악,A1018681,CODE#02 PRETTY PRETTY,,A1018681T004,I`m Fine Thank You,,44044,S110352,레이디스 코드 (LADIES` CODE),레이디스 코드 (LADIES` CODE),L20221456,주식회사 엠티엠홀딩스,A1018681T004,KRA491301048,Y,{},"{""GENIE"": ""82033964""}"
80,지니뮤직,대중음악,A1018917,아홉 이야기,아홉 이야기,A1018917T003,테스형!,테스형!,44063,S106243,나훈아,Na Hoon-A,"L20220920,L20221323","다날엔터_예소리 수수료,예소리",A1018917T003,QZEKE2003944,Y,{},"{""GENIE"": ""90690739""}"
80,지니뮤직,대중음악,A1019038,[#],,A1019038T002,So What,,44075,S119140,이달의 소녀,LOOΠΔ,L20221172,다날엔터_IP 이달소2,A1019038T002,KRA382000125,Y,{},"{""GENIE"": ""89826556""}"
80,지니뮤직,대중음악,A1019039,[X X],,A1019039T002,Butterfly,Butterfly,44075,S119140,이달의 소녀,LOOΠΔ,L20221172,다날엔터_IP 이달소2,A1019039T002,KRA381900458,Y,{},"{""GENIE"": ""88624262""}"
80,지니뮤직,대중음악,A1019981,이별행동,Break up,A1019981T001,이별행동,Break up,44256,S121486,이우,LEEWOO,L20221456,주식회사 엠티엠홀딩스,A1019981T001,KRA381904422,Y,{},"{""GENIE"": ""89408689""}"
80,지니뮤직,대중음악,A1020150,Funky Town - 우리 사랑했잖아,Funky Town - 우리 사랑했잖아,A1020150T001,Funky Town - 우리 사랑했잖아,Funky Town - 우리 사랑했잖아,44287,"S121880,S122207","다비치,티아라","DAVICHI,T-ara","L20231652,L20252417","아이원 주식회사 (I ONE),주식회사 플랜비뮤직",A1020150T001,KRA341561086,Y,{},"{""GENIE"": ""81206010""}"
80,지니뮤직,대중음악,A1020151,Gogossing,Gogossing,A1020151T005,Blue Moon,Blue Moon,44287,S110947,블랙펄,블랙펄,"L20231652,L20252417","아이원 주식회사 (I ONE),주식회사 플랜비뮤직",A1020151T005,QZEKE1928674,Y,{},"{""GENIE"": ""80765899""}"
80,지니뮤직,대중음악,A1020154,TTL Listen 2,TTL Listen 2,A1020154T001,TTL Listen 2,TTL Listen 2,44287,"S122207,S136318","티아라,초신성","T-ara,초신성","L20231652,L20252417","아이원 주식회사 (I ONE),주식회사 플랜비뮤직",A1020154T001,QZEKE1929165,Y,{},"{""GENIE"": ""80363459""}"
80,지니뮤직,대중음악,A1020155,TTL (Time To Love),TTL (Time To Love),A1020155T001,TTL (Time To Love),TTL (Time To Love),44287,"S122207,S136318","티아라,초신성","T-ara,초신성","L20231652,L20252417","아이원 주식회사 (I ONE),주식회사 플랜비뮤직",A1020155T001,QZEKE1929164,Y,{},"{""GENIE"": ""80171597""}"
80,지니뮤직,OST,A1020162,슬픔보다 더 슬픈 이야기,More Than Blue,A1020162T001,슬픔보다 더 슬픈 이야기,Story sadder than sorrow,44287,S121585,김범수,Kim Bum Soo,"L20231652,L20252417","아이원 주식회사 (I ONE),주식회사 플랜비뮤직",A1020162T001,QZEKE1922859,Y,{},"{""GENIE"": ""72581733""}"
80,지니뮤직,OST,A1020163,슬픔보다 더 슬픈 이야기 (Original Soundtrack),More Than Blue,A1020163T004,그런 사람 또 없습니다,No one else like that,44287,S121586,이승철,Lee Seung Chul,"L20231652,L20252417","아이원 주식회사 (I ONE),주식회사 플랜비뮤직",A1020163T004,QZEKE1922864,Y,{},"{""GENIE"": ""75042283""}"
80,지니뮤직,OST,A1020164,슬픔보다 더 슬픈 이야기 (Original Motion Picture Soundtrack) 2nd - 그런 사람 또 없습니다,슬픔보다 더 슬픈 이야기 (Original Motion Picture Soundtrack) 2nd - 그런 사람 또 없습니다,A1020164T017,그런 사람 또 없습니다,No one else like that,44302,S121586,이승철,Lee Seung Chul,"L20231652,L20252417","아이원 주식회사 (I ONE),주식회사 플랜비뮤직",A1020164T017,QZEKE1922860,Y,{},"{""GENIE"": ""75042283""}"
80,지니뮤직,대중음악,A1020166,Together,Together,A1020166T001,사랑은 다 그런거래요,That's all love,44287,"S113263,S121880,S121969","양파,다비치,한나","yangpa,DAVICHI,Hanna","L20231652,L20252417","아이원 주식회사 (I ONE),주식회사 플랜비뮤직",A1020166T001,QZEKE1929044,Y,{},"{""GENIE"": ""81315355""}"
80,지니뮤직,대중음악,A1020168,Together,Together,A1020168T001,알아요,I Know,44287,"S113263,S158620,S136319","양파,이보람,소연","yangpa,Lee Boram,SO YEON","L20231652,L20252417","아이원 주식회사 (I ONE),주식회사 플랜비뮤직",A1020168T001,QZEKE1929046,Y,{},"{""GENIE"": ""81339969""}"
80,지니뮤직,OST,A1020169,에덴의 동쪽 2 (Original Soundtrack),에덴의 동쪽 2 (Original Soundtrack),A1020169T001,듣고 있나요,Are you listening,44287,S121586,이승철,Lee Seung Chul,"L20231652,L20252417","아이원 주식회사 (I ONE),주식회사 플랜비뮤직",A1020169T001,QZEKE1922936,Y,{},"{""GENIE"": ""70634566""}"
80,지니뮤직,대중음악,A1020173,우리 사랑했잖아,We used to love,A1020173T001,우리 사랑했잖아,We were in love,44287,"S121880,S122207","다비치,티아라","DAVICHI,T-ara",L20231652,주식회사 플랜비뮤직,A1020173T001,QZEKE1923042,Y,{},"{""GENIE"": ""81199719""}"
80,지니뮤직,대중음악,A1020174,원더우먼,Wonder Woman,A1020174T001,원더우먼,Wonder Woman,44287,"S121309,S121880,S122207","씨야,다비치,티아라","SeeYa,DAVICHI,T-ara","L20231652,L20252417","아이원 주식회사 (I ONE),주식회사 플랜비뮤직",A1020174T001,QZEKE1928642,Y,{},"{""GENIE"": ""80611877""}"
80,지니뮤직,대중음악,A1020175,사랑 참 어렵다 (이승철 10th 리패키지),Lee Seung Chul 10th the Land of Dreams Mutopia,A1020175T001,듣고있나요,Are you listening,44287,S121586,이승철,Lee Seung Chul,"L20231652,L20252417","아이원 주식회사 (I ONE),주식회사 플랜비뮤직",A1020175T001,QZEKE1928977,Y,{},"{""GENIE"": ""80114048""}"
80,지니뮤직,대중음악,A1020175,사랑 참 어렵다 (이승철 10th 리패키지),Lee Seung Chul 10th the Land of Dreams Mutopia,A1020175T002,그런사람 또 없습니다,No one else like that,44287,S121586,이승철,Lee Seung Chul,"L20231652,L20252417","아이원 주식회사 (I ONE),주식회사 플랜비뮤직",A1020175T002,QZEKE1928978,Y,{},"{""GENIE"": ""80114049""}"
80,지니뮤직,OST,A1020179,커피하우스 (Original Television Soundtrack) Pt. 2,커피하우스 (Original Television Soundtrack) Pt. 2,A1020179T001,페이지원,페이지원,44287,"S100831,S102307","SG워너비,옥주현","SG Wannabe,JooHyun Oak","L20231652,L20252417","아이원 주식회사 (I ONE),주식회사 플랜비뮤직",A1020179T001,QZEKE1928849,Y,{},"{""GENIE"": ""80728457""}"
80,지니뮤직,대중음악,A1020183,For Our Love Sake,For Our Love Sake,A1020183T002,아껴둔 사랑을 위해,아껴둔 사랑을 위해,44287,S113136,이주원,이주원,"L20231652,L20252417","아이원 주식회사 (I ONE),주식회사 플랜비뮤직",A1020183T002,QZEKE1928659,Y,{},"{""GENIE"": ""16239597""}"
80,지니뮤직,OST,A1020187,편지 (Original Soundtrack),The Letter (Original Soundtrack),A1020187T009,Stand By Me,Stand By Me,44287,S110043,Ben E. King,Ben E. King,L20231652,주식회사 플랜비뮤직,A1020187T009,QZEKE1928862,Y,{},"{""GENIE"": ""80059019""}"
80,지니뮤직,대중음악,A1020200,첫사랑,First Love,A1020200T001,첫사랑(From 응답하라 1994),First Love(From 응답하라 1994),44287,S110968,써니사이드,MJ,"L20231652,L20252417","아이원 주식회사 (I ONE),주식회사 플랜비뮤직",A1020200T001,QZEKE1928765,Y,{},"{""GENIE"": ""81968546""}"
80,지니뮤직,대중음악,A1020834,"우리가 사랑한 그 노래, 새가수 Episode 1","The song we loved, a new singer Episode 1",A1020834T003,영일만 친구,Yeongil Bay friend,44393,S118991,오현우,Oh Hyeonu,"L20220888,L20221260,L20221261","정호뮤직,주식회사 금길,주식회사 애플뮤직",A1020834T003,QZNCB2161948,Y,{},"{""GENIE"": ""93767153""}"
80,지니뮤직,대중음악,A1020834,"우리가 사랑한 그 노래, 새가수 Episode 1","The song we loved, a new singer Episode 1",A1020834T006,소녀와 가로등,Girl and the lamppost,44393,S114328,이나영,Lee Nayeong,"L20220888,L20221260,L20221261","정호뮤직,주식회사 금길,주식회사 애플뮤직",A1020834T006,QZNCB2161951,Y,{},"{""GENIE"": ""93767156""}"
80,지니뮤직,대중음악,A1020858,015B Anthology Part.3,"015B Anthology, Pt.3",A1020858T001,세월의 흔적 다 버리고,Let go of all the trace of time,44378,"S123984,S121518","공일오비,오왠","015B,O.WHEN",L20221456,주식회사 엠티엠홀딩스,A1020858T001,KRA341759119,Y,{},"{""GENIE"": ""87598275""}"
80,지니뮤직,대중음악,A1021031,"우리가 사랑한 그 노래, 새가수 Episode 2","The song we loved, a new singer Episode 2",A1021031T002,지상에서 영원으로,From Supremacy To Eternity,44400,S114467,유다은,Ryu Da Eun,"L20220888,L20221260,L20221261","정호뮤직,주식회사 금길,주식회사 애플뮤직",A1021031T002,QZNCB2164868,Y,{},"{""GENIE"": ""93821976""}"
80,지니뮤직,대중음악,A1021148,1st Single Album [WHAT'S GOIN' ON],1st Single Album [WHAT'S GOIN' ON],A1021148T001,WHAT'S GOIN' ON,WHAT'S GOIN' ON,44445,S119450,OMEGA X,OMEGA X,L20231533,주식회사 아이피큐,A1021148T001,QZNCB2169970,Y,{},"{""GENIE"": ""94190352""}"
